,shortages,mismatches,youngblood,FIFO,usability,substitution,today,total_antibodies,max_antibodies_pp,alloimm_patients,antibodies A,antibodies B,antibodies D,antibodies C,antibodies c,antibodies E,antibodies e,antibodies K,antibodies Fya,antibodies Fyb,antibodies Jka,antibodies Jkb,antibodies M,antibodies N,antibodies S,total_shortages,total_outdates,total_alloimm_risk,issuing_age_SCD
477,10.0,0.72,0.31,0.89,0.05,0.41,0.79,12,1,12,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,86.0,0.0,116.673224,0.9270896888346551
478,10.0,0.87,0.2,0.29,0.21,0.88,0.54,7,2,6,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,1.0,0.0,158.83173799999997,0.8732142857142857
479,10.0,0.9,0.12,0.2,0.73,0.95,0.18,12,1,12,0,0,0,0,0,0,0,0,1,2,0,0,6,3,0,15.0,0.0,168.628907,0.8665504154272233
480,10.0,0.1,0.91,0.13,0.29,0.97,0.64,8,2,6,0,0,0,0,0,0,0,0,1,0,1,0,6,0,0,29.0,0.0,200.862885,0.9387525562372188
481,10.0,0.57,0.07,0.11,0.52,0.51,0.52,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,15.0,0.0,175.52849700000002,0.9159086314938346
482,10.0,0.34,0.3,0.68,0.43,0.84,0.37,14,2,12,0,0,0,0,0,0,0,0,0,1,2,0,11,0,0,2.0,0.0,188.065017,0.910257770234433
483,10.0,0.51,0.97,0.09,0.94,0.33,0.33,15,2,13,0,0,0,0,0,0,0,0,1,1,0,1,9,3,0,114.0,0.0,185.614443,0.9013197360527896
484,10.0,0.16,0.28,0.39,0.37,0.02,0.43,17,2,15,0,0,0,0,0,0,0,0,1,0,2,1,10,2,1,34.0,0.0,205.157478,0.881799379524302
485,10.0,0.06,0.69,0.11,0.84,0.72,0.23,18,2,16,0,0,0,0,0,0,0,0,4,1,0,0,9,2,2,31.0,0.0,207.264516,0.947131961132588
486,10.0,0.21,0.77,0.09,0.17,0.95,0.34,10,3,8,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,4.0,0.0,179.550105,0.9089026915113873
487,10.0,0.12,0.08,0.65,0.43,0.28,0.09,11,2,10,0,0,0,0,0,0,0,0,2,0,3,0,6,0,0,129.0,0.0,186.03396100000003,0.9012333095505044
488,10.0,0.32,0.63,0.77,0.51,0.8,0.72,16,2,14,0,0,0,0,0,0,0,0,2,0,2,0,8,1,3,0.0,0.0,189.03741,0.8782218511948242
489,10.0,0.55,0.11,0.08,0.76,0.29,0.85,9,1,9,0,0,0,0,0,0,0,0,1,0,2,0,5,1,0,32.0,0.0,193.551705,0.9013506753376688
490,10.0,0.67,0.62,0.74,1.0,0.47,0.46,13,2,11,0,0,0,0,0,0,0,0,0,0,3,1,7,2,0,105.0,0.0,189.334497,0.889914845593516
491,10.0,0.55,0.66,0.54,0.04,0.87,0.04,14,1,14,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,79.0,0.0,112.4673,0.9034271099744244
492,10.0,0.26,0.91,0.99,0.26,0.49,0.18,18,2,17,0,0,0,0,0,0,0,0,1,1,0,1,12,1,2,0.0,0.0,177.51493,0.8595453129866085
493,10.0,0.77,0.87,0.83,0.33,0.67,0.92,14,2,13,0,0,0,0,0,0,0,0,1,1,0,0,11,1,0,151.0,0.0,165.177472,0.8849846997995147
494,10.0,0.02,0.69,0.37,0.19,0.1,0.61,16,2,15,0,0,0,0,0,0,0,0,1,1,1,0,10,2,1,20.0,0.0,215.67560799999995,0.9259296685529508
495,10.0,0.4,0.42,0.49,0.43,0.63,0.39,8,1,8,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,4.0,0.0,181.726851,0.8739871182214834
496,10.0,0.31,0.42,0.19,0.82,0.39,0.44,12,1,12,0,0,0,0,0,0,0,0,0,0,2,0,8,2,0,118.0,0.0,190.432989,0.8698616198616199
497,10.0,0.13,0.44,0.23,0.03,0.85,0.55,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5.0,0.0,155.83189099999998,0.8288465520811762
498,10.0,0.21,0.23,0.16,0.54,0.52,0.67,18,2,14,0,0,0,0,0,0,0,0,4,1,2,0,9,1,1,15.0,0.0,193.56196,0.902051282051282
499,10.0,0.44,0.61,0.28,0.76,0.12,0.7,20,1,20,0,0,0,0,0,0,0,0,1,1,1,1,11,4,1,30.0,0.0,190.590579,0.897133563732466
